Designator,Mid X,Mid Y,Rotation,Layer
C1,59.05,-22.1,270.0,top
C10,52.2,-9.75,270.0,top
C11,47.3,-19.55,180.0,top
C12,39.55,-13.7,90.0,top
C13,14.6125,-6.75,180.0,top
C14,41.05,-3.4,180.0,top
C15,10.7125,-6.75,180.0,top
C16,20.4875,-6.3,180.0,top
C17,20.4875,-4.55,180.0,top
C18,19.2,-25.8375,90.0,top
C19,51.5125,-16.2,180.0,top
C2,47.3375,-21.4,0.0,top
C20,21.0,-25.8375,90.0,top
C21,39.0375,-19.025,270.0,top
C22,25.225,-16.2,0.0,top
C23,21.75,-16.15,0.0,top
C24,18.175,-16.15,0.0,top
C25,26.45,-25.8,90.0,top
C26,36.375,-0.0925,270.0,top
C27,28.1,-25.8,90.0,top
C28,44.5875,-19.125,270.0,top
C3,29.7375,-4.65,0.0,top
C35,57.3,-22.1,270.0,top
C38,62.45,-21.15,180.0,top
C4,29.7375,-6.6,180.0,top
C41,62.7875,-26.65,180.0,top
C5,29.7375,-8.45,180.0,top
C6,55.1,-18.7,270.0,top
C7,47.3,-17.65,180.0,top
C8,37.1,-18.35,270.0,top
C9,43.8,-5.0,0.0,top
D1,57.4,-18.5,90.0,top
D2,55.15,-9.05,180.0,top
D3,31.65,-11.55,90.0,top
D4,29.4,-11.55,90.0,top
D5,27.15,-11.6,90.0,top
D6,34.4,-21.975,270.0,top
D7,52.75,-23.65,180.0,top
D8,47.4,-23.25,0.0,top
J1,28.85,0.45,180.0,top
J3,56.7,0.45,0.0,top
J4,49.475,0.45,0.0,top
J5,70.1294,-21.7532,270.0,top
J6,1.9,-16.1,90.0,top
L2,61.75,-17.85,0.0,top
Q1,30.75,-25.4,180.0,top
Q10,16.4,-20.6,180.0,top
Q2,30.75,-20.65,180.0,top
Q5,23.8,-25.4,180.0,top
Q6,23.8,-20.6,180.0,top
Q9,16.4,-25.3675,180.0,top
R10,34.4,-25.825,90.0,top
R11,19.25,-22.2375,90.0,top
R12,26.45,-22.15,90.0,top
R13,26.45,-18.6875,90.0,top
R14,19.3,-18.8,90.0,top
R15,11.95,-18.3,90.0,top
R16,28.1,-22.1375,270.0,top
R17,28.1,-18.675,270.0,top
R18,49.4125,-4.2,0.0,top
R19,51.5875,-6.95,180.0,top
R2,36.9125,-4.8,0.0,top
R20,11.95,-23.0125,90.0,top
R21,20.95,-18.7875,270.0,top
R22,20.95,-22.275,270.0,top
R23,13.6,-18.2875,270.0,top
R24,13.6,-23.0,270.0,top
R26,59.05,-25.7,90.0,top
R27,55.55,-24.1,90.0,top
R28,23.35,-5.4,270.0,top
R29,25.0,-5.4,270.0,top
R3,33.35,-4.8,180.0,top
R30,26.8,-5.45,270.0,top
R31,37.1,-14.7375,90.0,top
R32,40.0,-16.2,180.0,top
R33,52.8,-21.8,180.0,top
R34,50.0,-22.3,270.0,top
R35,55.4,-7.05,180.0,top
R4,36.9125,-6.625,0.0,top
R5,33.35,-6.625,180.0,top
R6,36.9125,-8.45,0.0,top
R7,14.925,-20.9,0.0,bottom
R8,22.05,-22.73,0.0,bottom
R9,33.35,-8.45,180.0,top
RY8411,62.7,-23.9,180.0,top
SW1,18.2,0.0,180.0,top
SW2,63.45,-1.05,270.0,top
U1,45.7375,-11.35,0.0,top
U2,10.775,-11.6,0.0,top
U3,14.525,-11.5875,0.0,top
U5,41.5,0.1,270.0,top
U6,51.75,-18.7,0.0,top
U8,22.275,-11.3125,180.0,top
USART1,70.1002,-11.0502,270.0,top
Y2,41.8,-19.2875,270.0,top
