Designator,Mid X,Mid Y,Rotation,Layer
C1,76.665,-38.49,270.0,top
C10,64.06,-33.53,0.0,top
C11,52.665,-40.1,180.0,top
C12,53.48,-42.43,90.0,top
C13,35.1385,-24.526,180.0,top
C15,31.2385,-24.526,180.0,top
C16,38.6181,-24.5768,180.0,top
C17,38.6,-23.18,180.0,top
C18,37.3306,-44.1143,90.0,top
C19,59.26,-42.58,270.0,top
C2,38.59,-21.04,0.0,top
C20,39.1306,-44.1143,90.0,top
C22,42.8725,-34.47,0.0,top
C23,39.4925,-34.51,0.0,top
C24,36.1,-34.49,0.0,top
C25,44.5806,-44.0768,90.0,top
C27,46.2306,-44.0768,90.0,top
C3,48.1469,-23.6414,0.0,top
C33,55.05,-17.135,90.0,top
C35,75.135,-38.44,270.0,top
C38,79.835,-37.41,180.0,top
C4,48.1325,-25.1882,180.0,top
C41,80.76,-42.42,180.0,top
C5,48.0975,-26.7268,180.0,top
C51,75.741723,-35.145344,270.0,top
C57,69.975,-35.055,270.0,top
C59,72.66,-37.65,0.0,top
C6,47.2875,-21.32,180.0,top
C68,64.04,-21.19,270.0,top
C7,64.05,-35.08,0.0,top
C8,52.64,-38.51,180.0,top
C9,55.03,-30.97,180.0,top
D1,66.86,-23.0475,90.0,top
D2,52.375,-33.79,180.0,top
D3,49.7,-33.8775,90.0,top
D4,45.74,-33.31,90.0,top
D5,47.7,-33.4775,90.0,top
D6,72.565,-42.77,180.0,top
D7,72.425,-39.24,180.0,top
D8,78.27,-43.08,270.0,top
J1,88.4,-27.94,90.0,top
J2,81.21,-27.24,270.0,top
J3,74.8306,-17.8268,0.0,top
J4,67.6056,-17.8268,0.0,top
J5,88.646,-39.838,270.0,top
J6,24.156,-35.03,90.0,top
J7,70.75,-28.075,270.0,top
J8,65.86,-40.4,270.0,top
L2,78.845,-34.3,0.0,top
Q1,48.8806,-43.6768,180.0,top
Q10,34.5306,-38.8768,180.0,top
Q2,48.8806,-38.9268,180.0,top
Q5,41.9306,-43.6768,180.0,top
Q6,41.9306,-38.8768,180.0,top
Q9,34.5306,-43.6443,180.0,top
R1,74.03,-21.81,180.0,top
R10,80.76,-43.9,180.0,top
R11,37.3806,-40.5143,90.0,top
R12,44.58,-40.5975,90.0,top
R13,44.61,-37.24,90.0,top
R14,37.4306,-37.0768,90.0,top
R15,30.226,-37.846,90.0,top
R16,46.2,-40.74,270.0,top
R17,46.17,-37.2525,270.0,top
R19,52.4475,-35.38,0.0,top
R2,54.9119,-23.6514,0.0,top
R20,30.0806,-41.2893,90.0,top
R21,39.0806,-37.0643,270.0,top
R22,39.0806,-40.5518,270.0,top
R23,31.876,-37.8335,270.0,top
R24,31.7306,-41.2768,270.0,top
R26,76.685,-41.84,90.0,top
R27,75.135,-41.85,270.0,top
R28,41.4806,-23.6768,270.0,top
R29,43.1306,-23.6768,270.0,top
R3,51.53,-23.6282,180.0,top
R30,44.9306,-23.7268,270.0,top
R33,72.595,-41.11,180.0,top
R34,69.985,-38.32,270.0,top
R35,50.4625,-21.29,0.0,top
R4,54.8575,-25.19,0.0,top
R41,52.63,-36.95,0.0,top
R5,51.4856,-25.19,180.0,top
R6,54.86,-26.71,0.0,top
R7,33.0556,-39.1768,0.0,bottom
R8,40.1806,-41.0068,0.0,bottom
R9,51.4806,-26.7268,180.0,top
SW1,41.29,-17.72,180.0,top
SW2,49.97,-17.66,180.0,top
U10,72.8775,-35.13,0.0,top
U12,58.33,-35.91,180.0,top
U2,31.46,-29.37,0.0,top
U3,35.051,-29.3635,0.0,top
U4,59.545,-18.145,270.0,top
U5,79.91,-39.9625,180.0,top
U8,40.4056,-29.5893,180.0,top
Y1,56.38,-41.88,0.0,top
